marketCategory,year,qtr,gearGroup,portComplex,species,live,comLands
254,1996,1,TWL,OSF,GSRK,N,768
435,1998,1,NET,OLA,OCRK,N,65
254,1998,3,HKL,BDG,STRK,N,140
200,1995,2,HKL,OSB,UFLT,N,41
225,1995,1,TWL,CRS,UDAB,N,8319
250,1995,1,TWL,ERK,SHRP,N,6522
679,2001,4,TWL,OSF,SSPN,N,770
959,1996,3,TWL,BDG,GSPT,N,28
250,1996,3,HKL,MRO,LCOD,N,106
231,1995,1,HKL,MNT,STRY,N,2
659,1994,3,HKL,MRO,BYEL,N,98
207,2001,1,TWL,OSB,REX,N,152
251,1999,1,HKL,MRO,BYEL,N,120
250,1999,4,TWL,MRO,BANK,N,242
267,1996,2,TWL,BDG,BRWN,N,100
207,1997,1,HKL,OLA,REX,N,65
247,1998,1,TWL,OSF,CNRY,N,1575
665,1997,4,HKL,OSF,CBZN,N,344
962,1995,3,HKL,MRO,KLPR,N,459
975,2000,3,HKL,ERK,DBRK,N,8807
211,1998,4,TWL,MNT,DOVR,N,327853
250,1995,3,TWL,CRS,CLPR,N,33
240,1995,4,TWL,MRO,UFLT,N,1025
250,1995,3,TWL,BRG,BANK,N,121403
252,1995,3,HKL,BDG,COPP,N,134
959,1996,4,HKL,MRO,VRML,N,13333
159,1995,2,TWL,BRG,SSRK,N,56
269,1995,1,NET,MNT,WDOW,N,3364
250,1994,1,HKL,OSB,LCOD,N,201
960,1991,2,TWL,MNT,STRK,N,411
155,1991,3,NET,MRO,SHRK,N,114626
155,1991,2,NET,OLA,SHRK,N,3705
250,1992,4,HKL,OLA,FLAG,N,12
225,1991,2,NET,MNT,UDAB,N,571
252,1998,4,HKL,OSF,BLCK,N,5230
197,1996,2,TWL,ERK,PCOD,N,6
959,1997,3,TWL,OSF,CLPR,N,3344
211,2001,2,TWL,CRS,DOVR,N,300528
957,1997,2,TWL,OSF,URCK,N,1
259,1998,1,TWL,BRG,YTRK,N,1307
254,1998,4,NET,OSF,CLPR,N,2752
174,1997,1,TWL,MRO,SHRK,N,493
195,1998,2,TWL,CRS,LCOD,N,16660
206,1996,1,HKL,MNT,EGLS,N,45
959,1992,4,NET,MNT,CNRY,N,2861
663,1999,1,HKL,BDG,BANK,N,6
222,1998,4,TWL,ERK,CHLB,N,11148
959,1996,2,NET,OLA,SPKL,N,8
250,1992,4,TWL,ERK,GSPT,N,1389
960,1993,3,HKL,MRO,BRWN,N,451
206,1992,1,TWL,CRS,EGLS,N,17373
195,1992,1,TWL,OLA,LCOD,N,84
