sampleNumber,clusterNumber,species,weight,year,qtr,portComplex,gearGroup,marketCategory,live
199706046,1,CHNA,30,1997,2,BRG,HKL,258,N
199706046,1,QLBK,20,1997,2,BRG,HKL,258,N
199706047,1,GSPT,50,1997,2,BRG,HKL,255,N
199706048,1,WDOW,50,1997,3,BRG,TWL,269,N
199706048,2,WDOW,51,1997,3,BRG,TWL,269,N
199706049,1,YTRK,50,1997,3,BRG,TWL,250,N
199706049,2,GSPT,1,1997,3,BRG,TWL,250,N
199706049,2,YTRK,50,1997,3,BRG,TWL,250,N
199706050,1,SSPN,50,1997,3,BRG,TWL,679,N
199706050,2,SSPN,51,1997,3,BRG,TWL,679,N
199706051,1,COPP,50,1997,3,BRG,HKL,655,N
199706051,2,COPP,51,1997,3,BRG,HKL,655,N
199706052,1,YEYE,50,1997,3,BRG,HKL,265,N
199706052,2,TIGR,5,1997,3,BRG,HKL,265,N
199706052,2,YEYE,45,1997,3,BRG,HKL,265,N
199706053,1,BLCK,36,1997,3,BRG,HKL,252,N
199706053,1,BLUR,9,1997,3,BRG,HKL,252,N
199706053,1,KLPG,5,1997,3,BRG,HKL,252,N
199706053,2,BLCK,39,1997,3,BRG,HKL,252,N
199706053,2,BLUR,6,1997,3,BRG,HKL,252,N
199706053,2,KLPG,5,1997,3,BRG,HKL,252,N
199706054,1,CLPR,36,1997,3,BRG,TWL,250,N
199706054,1,YTRK,14,1997,3,BRG,TWL,250,N
199706055,1,BANK,6,1997,3,BRG,TWL,960,N
199706055,1,CLPR,3,1997,3,BRG,TWL,960,N
199706055,1,GSPT,1,1997,3,BRG,TWL,960,N
199706055,1,SBLY,15,1997,3,BRG,TWL,960,N
199706055,2,BANK,5,1997,3,BRG,TWL,960,N
199706055,2,CLPR,3,1997,3,BRG,TWL,960,N
199706055,2,GSPT,1,1997,3,BRG,TWL,960,N
199706055,2,SBLY,16,1997,3,BRG,TWL,960,N
199706056,1,SSPN,50,1997,3,BRG,TWL,679,N
