sampleNumber,clusterNumber,species,weight,year,qtr,portComplex,gearGroup,marketCategory,landingWeight,live
198101379,1,BCAC,42,1981,4,BDG,TWL,250,1475,N
198101379,1,TIGR,4,1981,4,BDG,TWL,250,1475,N
198101393,1,SNOS,22,1981,3,OSF,TWL,250,20370,N
198101394,1,BCAC,18,1981,3,OSF,TWL,250,23490,N
198101394,1,CLPR,12,1981,3,OSF,TWL,250,23490,N
198101394,1,WDOW,8,1981,3,OSF,TWL,250,23490,N
198101394,1,YTRK,12,1981,3,OSF,TWL,250,23490,N
198101395,1,BCAC,8,1981,3,OSF,TWL,250,9295,N
198101395,1,BLGL,4,1981,3,OSF,TWL,250,9295,N
198101395,1,CLPR,38,1981,3,OSF,TWL,250,9295,N
198101397,1,BCAC,14,1981,3,OSF,TWL,250,9260,N
198101397,1,CLPR,30,1981,3,OSF,TWL,250,9260,N
198101398,1,BCAC,14,1981,3,OSF,TWL,250,23890,N
198101398,1,CLPR,33,1981,3,OSF,TWL,250,23890,N
198101398,1,WDOW,1,1981,3,OSF,TWL,250,23890,N
198101398,1,YTRK,2,1981,3,OSF,TWL,250,23890,N
198101405,1,BCAC,37,1981,1,MNT,TWL,250,16470,N
198101405,1,CLPR,5,1981,1,MNT,TWL,250,16470,N
198101407,1,BCAC,6,1981,1,MNT,TWL,250,717,N
198101407,1,CLPR,13,1981,1,MNT,TWL,250,717,N
198101407,1,WDOW,26,1981,1,MNT,TWL,250,717,N
198101408,1,BCAC,13,1981,1,MNT,TWL,250,2750,N
198101408,1,BLGL,6,1981,1,MNT,TWL,250,2750,N
198101408,1,CLPR,7,1981,1,MNT,TWL,250,2750,N
198101408,1,SNOS,1,1981,1,MNT,TWL,250,2750,N
198101409,1,BCAC,50,1981,1,MNT,TWL,250,14630,N
198101410,1,BCAC,13,1981,1,MNT,TWL,250,7720,N
198101410,1,CLPR,11,1981,1,MNT,TWL,250,7720,N
198101410,1,WDOW,23,1981,1,MNT,TWL,250,7720,N
198101411,1,BCAC,30,1981,1,MNT,TWL,250,2270,N
198101411,1,CLPR,6,1981,1,MNT,TWL,250,2270,N
198101411,1,WDOW,2,1981,1,MNT,TWL,250,2270,N
198101412,1,BCAC,16,1981,1,MNT,TWL,250,6540,N
198101412,1,CLPR,10,1981,1,MNT,TWL,250,6540,N
198101412,1,WDOW,5,1981,1,MNT,TWL,250,6540,N
198101413,1,BCAC,36,1981,1,MNT,TWL,250,18230,N
198101413,1,CLPR,2,1981,1,MNT,TWL,250,18230,N
198101413,1,WDOW,15,1981,1,MNT,TWL,250,18230,N
198101414,1,BCAC,12,1981,1,MNT,TWL,250,4410,N
198101414,1,CLPR,13,1981,1,MNT,TWL,250,4410,N
198101414,1,LCOD,6,1981,1,MNT,TWL,250,4410,N
198101414,1,WDOW,4,1981,1,MNT,TWL,250,4410,N
198101414,1,YTRK,23,1981,1,MNT,TWL,250,4410,N
198101415,1,BCAC,47,1981,1,MNT,TWL,250,12420,N
198101415,1,CLPR,2,1981,1,MNT,TWL,250,12420,N
198101415,1,WDOW,2,1981,1,MNT,TWL,250,12420,N
198101416,1,BCAC,20,1981,1,MNT,TWL,250,10290,N
198101416,1,CLPR,5,1981,1,MNT,TWL,250,10290,N
198101416,1,WDOW,4,1981,1,MNT,TWL,250,10290,N
198101417,1,BCAC,13,1981,1,MNT,TWL,250,2450,N
198101417,1,BLGL,4,1981,1,MNT,TWL,250,2450,N
198101417,1,CLPR,11,1981,1,MNT,TWL,250,2450,N
198101417,1,WDOW,12,1981,1,MNT,TWL,250,2450,N
198101417,1,YTRK,6,1981,1,MNT,TWL,250,2450,N
198101419,1,BCAC,4,1981,1,MNT,TWL,250,5200,N
198101419,1,SNOS,3,1981,1,MNT,TWL,250,5200,N
198101419,1,YTRK,64,1981,1,MNT,TWL,250,5200,N
198101420,1,BCAC,9,1981,2,MNT,TWL,250,1930,N
198101420,1,CLPR,5,1981,2,MNT,TWL,250,1930,N
198101420,1,WDOW,2,1981,2,MNT,TWL,250,1930,N
198101420,1,YTRK,28,1981,2,MNT,TWL,250,1930,N
198101421,1,BANK,6,1981,2,MNT,TWL,250,1950,N
198101421,1,BCAC,11,1981,2,MNT,TWL,250,1950,N
198101421,1,CLPR,8,1981,2,MNT,TWL,250,1950,N
198101421,1,SNOS,6,1981,2,MNT,TWL,250,1950,N
198101421,1,WDOW,3,1981,2,MNT,TWL,250,1950,N
198101423,1,BCAC,19,1981,2,MNT,TWL,250,16430,N
198101423,1,CLPR,13,1981,2,MNT,TWL,250,16430,N
198101423,1,WDOW,2,1981,2,MNT,TWL,250,16430,N
198101424,1,BCAC,38,1981,2,MNT,TWL,250,17070,N
198101426,1,BCAC,8,1981,2,MNT,TWL,250,3240,N
198101426,1,CLPR,36,1981,2,MNT,TWL,250,3240,N
198101426,1,SNOS,1,1981,2,MNT,TWL,250,3240,N
198101427,1,BCAC,12,1981,2,MNT,TWL,250,3220,N
198101427,1,CLPR,14,1981,2,MNT,TWL,250,3220,N
198101427,1,SNOS,7,1981,2,MNT,TWL,250,3220,N
198101427,1,WDOW,2,1981,2,MNT,TWL,250,3220,N
198101428,1,BCAC,16,1981,2,MNT,TWL,250,7600,N
198101428,1,CLPR,26,1981,2,MNT,TWL,250,7600,N
198101429,1,BCAC,14,1981,2,MNT,TWL,250,5710,N
198101429,1,CLPR,18,1981,2,MNT,TWL,250,5710,N
198101429,1,CNRY,4,1981,2,MNT,TWL,250,5710,N
198101429,1,WDOW,2,1981,2,MNT,TWL,250,5710,N
198101430,1,CLPR,53,1981,2,MNT,TWL,250,11290,N
198101431,1,BANK,31,1981,3,MNT,TWL,250,9750,N
198101431,1,BCAC,7,1981,3,MNT,TWL,250,9750,N
198101431,1,SNOS,3,1981,3,MNT,TWL,250,9750,N
198101432,1,BCAC,12,1981,3,MNT,TWL,250,5280,N
198101432,1,CLPR,9,1981,3,MNT,TWL,250,5280,N
198101432,1,WDOW,16,1981,3,MNT,TWL,250,5280,N
198101433,1,BCAC,16,1981,3,MNT,TWL,250,2760,N
198101433,1,CLPR,29,1981,3,MNT,TWL,250,2760,N
198101433,1,CNRY,3,1981,3,MNT,TWL,250,2760,N
198101433,1,SNOS,1,1981,3,MNT,TWL,250,2760,N
198101436,1,BCAC,20,1981,3,MNT,TWL,250,14930,N
198101436,1,CLPR,6,1981,3,MNT,TWL,250,14930,N
198101436,1,GSPT,1,1981,3,MNT,TWL,250,14930,N
198101436,1,LCOD,4,1981,3,MNT,TWL,250,14930,N
198101436,1,WDOW,5,1981,3,MNT,TWL,250,14930,N
198101436,1,YTRK,15,1981,3,MNT,TWL,250,14930,N
198101437,1,BCAC,33,1981,2,MNT,TWL,250,11050,N
198101437,1,CLPR,11,1981,2,MNT,TWL,250,11050,N
198101440,1,BANK,42,1981,4,MNT,TWL,250,9410,N
198101440,1,BCAC,10,1981,4,MNT,TWL,250,9410,N
198101440,1,CLPR,3,1981,4,MNT,TWL,250,9410,N
198101442,1,BCAC,4,1981,1,BRG,TWL,250,18021,N
198101442,1,WDOW,18,1981,1,BRG,TWL,250,18021,N
198101442,1,YTRK,28,1981,1,BRG,TWL,250,18021,N
198101444,1,BCAC,24,1981,1,BRG,TWL,250,8340,N
198101444,1,CLPR,22,1981,1,BRG,TWL,250,8340,N
198101444,1,CNRY,4,1981,1,BRG,TWL,250,8340,N
198101446,1,BCAC,2,1981,2,BRG,TWL,250,5065,N
198101446,1,CLPR,25,1981,2,BRG,TWL,250,5065,N
198101446,1,CWCD,2,1981,2,BRG,TWL,250,5065,N
198101448,1,BANK,50,1981,2,BRG,TWL,250,19450,N
198101448,1,DBRK,3,1981,2,BRG,TWL,250,19450,N
198101454,1,BCAC,53,1981,2,BRG,TWL,250,62545,N
198101455,1,BCAC,46,1981,2,BRG,TWL,250,8360,N
198101455,1,CLPR,2,1981,2,BRG,TWL,250,8360,N
198101455,1,GSRK,3,1981,2,BRG,TWL,250,8360,N
198101457,1,BCAC,25,1981,3,BRG,TWL,250,1209,N
198101457,1,GSRK,1,1981,3,BRG,TWL,250,1209,N
198101457,1,SNOS,1,1981,3,BRG,TWL,250,1209,N
198101459,1,BCAC,37,1981,3,BRG,TWL,250,25905,N
198101459,1,CLPR,12,1981,3,BRG,TWL,250,25905,N
198101459,1,STRK,1,1981,3,BRG,TWL,250,25905,N
198101460,1,BCAC,31,1981,3,BRG,TWL,250,14215,N
198101460,1,CLPR,19,1981,3,BRG,TWL,250,14215,N
198101461,1,BCAC,32,1981,3,BRG,TWL,250,5190,N
198101461,1,CLPR,10,1981,3,BRG,TWL,250,5190,N
198101461,1,GSPT,9,1981,3,BRG,TWL,250,5190,N
198101461,1,GSRK,1,1981,3,BRG,TWL,250,5190,N
198101462,1,BCAC,5,1981,3,BRG,TWL,250,20990,N
198101462,1,CLPR,43,1981,3,BRG,TWL,250,20990,N
198101462,1,WDOW,3,1981,3,BRG,TWL,250,20990,N
198101464,1,BCAC,32,1981,3,BRG,TWL,250,10930,N
198101464,1,CLPR,18,1981,3,BRG,TWL,250,10930,N
198101465,1,CLPR,51,1981,3,BRG,TWL,250,6555,N
198101466,1,BCAC,9,1981,3,BRG,TWL,250,1545,N
198101466,1,CLPR,28,1981,3,BRG,TWL,250,1545,N
198101466,1,CNRY,16,1981,3,BRG,TWL,250,1545,N
198101466,1,GSRK,6,1981,3,BRG,TWL,250,1545,N
198101467,1,BCAC,40,1981,3,BRG,TWL,250,410,N
198101467,1,CLPR,11,1981,3,BRG,TWL,250,410,N
198101468,1,BANK,3,1981,3,BRG,TWL,250,2740,N
198101468,1,BCAC,24,1981,3,BRG,TWL,250,2740,N
198101468,1,CLPR,24,1981,3,BRG,TWL,250,2740,N
198101469,1,BCAC,17,1981,3,BRG,TWL,250,8785,N
198101469,1,CLPR,19,1981,3,BRG,TWL,250,8785,N
198101469,1,CNRY,11,1981,3,BRG,TWL,250,8785,N
198101469,1,GSPT,3,1981,3,BRG,TWL,250,8785,N
198101470,1,BCAC,33,1981,3,BRG,TWL,250,1290,N
198101470,1,CNRY,9,1981,3,BRG,TWL,250,1290,N
198101470,1,GSPT,3,1981,3,BRG,TWL,250,1290,N
198101470,1,WDOW,5,1981,3,BRG,TWL,250,1290,N
198101472,1,BCAC,13,1981,4,BRG,TWL,250,925,N
198101472,1,CLPR,29,1981,4,BRG,TWL,250,925,N
198101472,1,GSRK,3,1981,4,BRG,TWL,250,925,N
198101474,1,BCAC,7,1981,4,BRG,TWL,250,7331,N
198101474,1,CLPR,42,1981,4,BRG,TWL,250,7331,N
198101474,1,GSRK,2,1981,4,BRG,TWL,250,7331,N
198101475,1,CLPR,2,1981,4,BRG,TWL,250,865,N
198101475,1,GSPT,39,1981,4,BRG,TWL,250,865,N
198101475,1,GSRK,1,1981,4,BRG,TWL,250,865,N
198101475,1,YTRK,8,1981,4,BRG,TWL,250,865,N
198128101,1,SNOS,50,1981,1,BRG,TWL,250,3055,N
198128102,1,BCAC,13,1981,1,BRG,TWL,250,3905,N
198128102,1,CLPR,6,1981,1,BRG,TWL,250,3905,N
198128102,1,CNRY,17,1981,1,BRG,TWL,250,3905,N
198128102,1,DBRK,1,1981,1,BRG,TWL,250,3905,N
198128102,1,SNOS,6,1981,1,BRG,TWL,250,3905,N
198128102,1,YTRK,3,1981,1,BRG,TWL,250,3905,N
198128103,1,BANK,47,1981,1,BRG,TWL,250,47620,N
198128104,1,SNOS,42,1981,1,BRG,TWL,250,200,N
198128105,1,BANK,52,1981,1,BRG,TWL,250,31615,N
198128106,1,WDOW,52,1981,2,BRG,TWL,250,17365,N
198128107,1,BANK,40,1981,2,BRG,TWL,250,25110,N
198128108,1,BANK,49,1981,2,BRG,TWL,250,55410,N
198128109,1,WDOW,51,1981,2,BRG,TWL,250,50415,N
198128110,1,CLPR,5,1981,2,BRG,TWL,250,1600,N
198128110,1,DBRK,14,1981,2,BRG,TWL,250,1600,N
198128110,1,GSPT,13,1981,2,BRG,TWL,250,1600,N
198128110,1,GSRK,2,1981,2,BRG,TWL,250,1600,N
198128110,1,RDBD,6,1981,2,BRG,TWL,250,1600,N
198128110,1,SNOS,10,1981,2,BRG,TWL,250,1600,N
198128110,1,STRK,3,1981,2,BRG,TWL,250,1600,N
198128111,1,BANK,14,1981,2,BRG,TWL,250,54125,N
198128111,1,BCAC,19,1981,2,BRG,TWL,250,54125,N
198128111,1,DBRK,4,1981,2,BRG,TWL,250,54125,N
198128111,1,POP,3,1981,2,BRG,TWL,250,54125,N
198128111,1,SNOS,3,1981,2,BRG,TWL,250,54125,N
198128112,1,BCAC,40,1981,2,BRG,TWL,250,11815,N
198128112,1,CLPR,8,1981,2,BRG,TWL,250,11815,N
198128112,1,CNRY,4,1981,2,BRG,TWL,250,11815,N
198128112,1,WDOW,3,1981,2,BRG,TWL,250,11815,N
198128113,1,BCAC,39,1981,2,BRG,TWL,250,12555,N
198128113,1,CLPR,5,1981,2,BRG,TWL,250,12555,N
198128113,1,CNRY,4,1981,2,BRG,TWL,250,12555,N
198128113,1,YTRK,3,1981,2,BRG,TWL,250,12555,N
198128114,1,BANK,28,1981,2,BRG,TWL,250,48935,N
198128114,1,DBRK,12,1981,2,BRG,TWL,250,48935,N
198128114,1,SNOS,8,1981,2,BRG,TWL,250,48935,N
198128115,1,DBRK,10,1981,3,BRG,TWL,250,39270,N
198128115,1,SNOS,7,1981,3,BRG,TWL,250,39270,N
198128115,1,WDOW,34,1981,3,BRG,TWL,250,39270,N
198128116,1,SNOS,32,1981,3,BRG,TWL,250,230,N
198128117,1,SNOS,25,1981,3,BRG,TWL,250,70,N
198128118,1,SNOS,32,1981,3,BRG,TWL,250,55,N
